City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,mermoz boabab,14.7065,-17.4758,25.31,81,98,1.41,SN,1690225655
158,edd,13.9297,41.6925,34.29,63,75,1.29,ER,1690225655
159,tidjikja,18.5564,-11.4271,36.18,30,28,3.66,MR,1690225655
160,nar'yan-mar,67.6713,53.087,16.48,73,100,2.64,RU,1690225655
161,smara,26.7384,-11.6719,27.86,38,15,9.13,EH,1690225656
162,al bawiti,28.3492,28.8659,33.45,22,0,8.14,EG,1690225656
163,bredasdorp,-34.5322,20.0403,8.01,73,0,2.37,ZA,1690225656
164,bel ombre,-4.6167,55.4167,25.41,86,100,8.76,SC,1690225657
165,tolanaro,-25.0319,46.9987,19.02,88,50,2.06,MG,1690225657
166,klyuchi,52.2667,79.1667,20.49,57,7,3.95,RU,1690225657
167,uturoa,-16.7333,-151.4333,26.64,82,17,6.3,PF,1690225657
168,selfoss,63.9331,-20.9971,14.47,79,56,4.23,IS,1690225658
169,remire-montjoly,4.9167,-52.2667,30.02,79,75,1.54,GF,1690225618
170,tommot,58.9564,126.2925,16.5,91,100,0.71,RU,1690225658
171,yarmouth,41.7057,-70.2286,28.32,71,0,6.69,US,1690225658
172,gabu,12.2833,-14.2167,26.13,90,100,2.02,GW,1690225658
173,flying fish cove,-10.4217,105.6791,23.82,94,100,3.09,CX,1690225529
174,sungai raya,0.7,108.9,25.7,88,94,3.46,ID,1690225659
175,greenville,35.6127,-77.3663,31.18,68,40,3.6,US,1690225072
176,antofagasta,-23.65,-70.4,18.6,71,31,3.76,CL,1690225564
177,vadso,70.0744,29.7487,9.49,100,100,6.69,NO,1690225401
178,tsiombe,-25.3,45.4833,16.86,89,44,1.53,MG,1690225659
179,lloydminster,53.2835,-110.0016,26.88,46,1,7.49,CA,1690225660
180,ust-nera,64.5667,143.2,15.89,63,92,3.15,RU,1690225660
181,kratie,12.4881,106.0188,22.99,98,82,1.65,KH,1690225639
182,ta`u,-14.2336,-169.5144,26.02,72,89,5.37,AS,1690225660
183,weno,7.4515,151.8468,28.24,77,100,7.83,FM,1690225479
184,berdigestyakh,62.0989,126.6992,18.19,80,42,1.36,RU,1690225661
185,meulaboh,4.1363,96.1285,24.36,90,58,1.9,ID,1690225661
186,anadyr,64.75,177.4833,11.28,87,75,6.71,RU,1690225661
187,mar del plata,-38.0023,-57.5575,9.41,65,40,6.71,AR,1690225367
188,zhongxing,33.7039,118.6792,26.31,83,96,2.04,CN,1690225662
189,lycksele,64.5954,18.6735,15.93,82,100,2.06,SE,1690225492
190,sidi okba,34.7451,5.8983,40.01,6,0,3.86,DZ,1690225662
191,holyhead,53.3062,-4.6321,16.0,63,81,3.09,GB,1690225662
192,huarmey,-10.0681,-78.1522,23.68,66,0,5.47,PE,1690225662
193,ryotsu-minato,38.0833,138.4333,25.4,78,3,1.81,JP,1690225662
194,puerto ayora,-0.7393,-90.3518,28.98,78,84,5.29,EC,1690225663
195,karratha,-20.7377,116.8463,15.96,54,0,6.17,AU,1690225609
196,gohadi,26.4261,78.4447,33.44,54,89,3.0,IN,1690225575
197,tamiahua,21.2667,-97.45,24.55,93,100,1.31,MX,1690225664
198,tantoyuca,21.35,-98.2333,24.22,92,100,1.62,MX,1690225664
199,loa janan,-0.583,117.095,22.97,96,46,1.65,ID,1690225664
200,lazaro cardenas,17.9583,-102.2,32.3,55,99,0.87,MX,1690225561
201,vangaindrano,-23.35,47.6,19.39,93,6,2.42,MG,1690225665
202,nuuk,64.1835,-51.7216,12.34,71,20,5.66,GL,1690225532
203,numan,9.4667,12.0333,29.74,52,66,4.23,NG,1690225666
204,margate,51.3813,1.3862,16.06,77,100,2.68,GB,1690225666
205,afaahiti,-17.75,-149.2833,25.93,85,6,9.12,PF,1690225665
206,dhangadhi,28.7079,80.5961,26.28,90,95,3.3,NP,1690225667
207,salgueiro,-8.0742,-39.1192,30.43,29,22,7.26,BR,1690225393
208,aras-asan,8.8908,126.3033,26.37,80,100,5.24,PH,1690225667
209,kaa-khem,51.6833,94.7333,16.1,60,99,1.97,RU,1690225668
210,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,94,0,2.0,RU,1690225615
211,hithadhoo,-0.6,73.0833,28.38,78,100,6.85,MV,1690225668
212,usogorsk,63.4106,48.6872,13.97,94,100,1.77,RU,1690225668
213,sechura,-5.5569,-80.8222,27.53,56,60,6.36,PE,1690225669
214,celestun,20.8667,-90.4,32.46,57,8,3.62,MX,1690225669
215,coatepec,19.45,-96.9667,20.13,93,100,0.71,MX,1690225470
216,constantia,44.1833,28.65,25.39,71,0,8.89,RO,1690225445
217,sitka,57.0531,-135.33,15.94,77,20,0.0,US,1690225669
218,akureyri,65.6835,-18.0878,11.67,90,100,1.8,IS,1690225669
219,ivot,53.6756,34.1872,16.19,93,82,3.35,RU,1690225670
220,ambon,-3.6954,128.1814,27.91,91,40,1.03,ID,1690225670
221,mili,6.0815,171.735,27.91,79,97,6.05,MH,1690225602
222,port blair,11.6667,92.75,26.92,86,100,7.07,IN,1690225670
223,trogir,43.5125,16.2517,31.03,45,0,2.57,HR,1690225670
224,fort stockton,30.894,-102.8793,36.76,17,0,1.34,US,1690225671
225,haiku-pauwela,20.9219,-156.3051,27.32,66,20,9.26,US,1690225671
226,arraial do cabo,-22.9661,-42.0278,23.92,73,0,9.26,BR,1690225671
227,coquimbo,-29.9533,-71.3436,16.85,72,0,4.63,CL,1690225230
228,kegeyli shahar,42.7767,59.6078,32.05,19,5,4.33,UZ,1690225561
229,usinsk,65.9939,57.5281,14.88,78,8,3.49,RU,1690225671
230,port augusta,-32.5,137.7667,7.63,87,0,2.44,AU,1690225672
231,takoradi,4.8845,-1.7554,24.8,88,100,2.97,GH,1690225672
232,miyaly,48.8844,53.7836,27.08,46,100,1.29,KZ,1690225672
233,vila do maio,15.1333,-23.2167,25.99,77,94,4.71,CV,1690225672
234,kingston,17.997,-76.7936,35.13,61,20,10.29,JM,1690225435
235,ancud,-41.8697,-73.8203,8.24,90,100,9.5,CL,1690225672
